restaurant,country,city,dish,price_usd,servings,description,calories
Brazilian Grill #1,Brazil,São Paulo,Feijoada,20.45,261,"Stew of beans with pork, beef, and sausage, served with rice.",816
Persian Delight #2,Iran,Tehran,Chelo Kebab,12.9,341,"Grilled kebabs served with saffron rice, butter, and grilled tomato.",341
Brazilian Grill #3,Brazil,São Paulo,Feijoada,21.91,213,"Stew of beans with pork, beef, and sausage, served with rice.",702
Sushi Zen #4,Japan,Tokyo,Sushi Platter,24.94,394,"Assorted fresh sushi with tuna, salmon, shrimp, and seasonal fish.",877
Burger Hub #5,USA,New York,Cheeseburger,13.24,145,"Juicy beef patty with cheese, lettuce, tomato, and pickles.",1126
Tandoori Palace #6,India,Delhi,Chicken Tikka Masala,15.82,379,Marinated chicken cooked in creamy tomato sauce with spices.,352
London Pub #7,UK,London,Fish and Chips,13.17,197,Deep-fried battered fish with fries and tartar sauce.,377
Tandoori Palace #8,India,Delhi,Chicken Tikka Masala,13.76,302,Marinated chicken cooked in creamy tomato sauce with spices.,1020
Brazilian Grill #9,Brazil,São Paulo,Feijoada,20.11,273,"Stew of beans with pork, beef, and sausage, served with rice.",1177
El Asador #10,Argentina,Buenos Aires,Bife de Chorizo,23.29,227,Grilled sirloin steak served with chimichurri sauce.,326
Tandoori Palace #11,India,Delhi,Chicken Tikka Masala,14.95,363,Marinated chicken cooked in creamy tomato sauce with spices.,281
Seoul Kitchen #12,South Korea,Seoul,Bibimbap,14.43,283,"Mixed rice with vegetables, beef, egg, and chili pepper paste.",478
Burger Hub #13,USA,New York,Cheeseburger,10.9,95,"Juicy beef patty with cheese, lettuce, tomato, and pickles.",891
Burger Hub #14,USA,New York,Cheeseburger,12.58,387,"Juicy beef patty with cheese, lettuce, tomato, and pickles.",993
Seoul Kitchen #15,South Korea,Seoul,Bibimbap,14.18,286,"Mixed rice with vegetables, beef, egg, and chili pepper paste.",1119
Tandoori Palace #16,India,Delhi,Chicken Tikka Masala,16.08,190,Marinated chicken cooked in creamy tomato sauce with spices.,875
Casa de Tapas #17,Spain,Barcelona,Paella,26.21,337,"Traditional rice dish with seafood, chicken, and saffron.",579
El Asador #18,Argentina,Buenos Aires,Bife de Chorizo,22.84,81,Grilled sirloin steak served with chimichurri sauce.,592
Le Gourmet #19,France,Paris,Coq au Vin,23.95,254,"Classic French dish of chicken braised with wine, mushrooms, and garlic.",768
Kebabistan #20,Turkey,Istanbul,Doner Kebab,11.04,297,"Slow-cooked meat shaved from a rotating spit, served in bread.",778
Burger Hub #21,USA,New York,Cheeseburger,11.0,369,"Juicy beef patty with cheese, lettuce, tomato, and pickles.",564
Persian Delight #22,Iran,Tehran,Chelo Kebab,15.57,379,"Grilled kebabs served with saffron rice, butter, and grilled tomato.",555
Persian Delight #23,Iran,Tehran,Chelo Kebab,16.3,313,"Grilled kebabs served with saffron rice, butter, and grilled tomato.",1146
